srcip,dstip,sport,dport,proto,data,label,classes
192.168.2.200,13.89.179.9,7352,443,6,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x004\xeb\\@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8\rY\xb3\t\x1c\xb8\x01\xbbb)V\xff\x00\x00\x00\x00\x80\x02\xfa\xf0\x83\xf9\x00\x00\x02\x04\x05\xb4\x01\x03\x03\x08\x01\x01\x04\x02'",1,Abnormal
192.168.2.200,13.89.179.9,7352,443,6,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00(\xeb]@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8\rY\xb3\t\x1c\xb8\x01\xbbb)W\x00B\xc8\x01zP\x10\x04\x04\x83\xed\x00\x00'",1,Abnormal
192.168.2.200,13.89.179.9,7352,443,6,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x02-\xeb^@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8\rY\xb3\t\x1c\xb8\x01\xbbb)W\x00B\xc8\x01zP\x18\x04\x04\x85\xf2\x00\x00\x16\x03\x01\x02\x00\x01\x00\x01\xfc\x03\x03\x98V\xa3\x9f>\x00\x06\x1cG\xc6y\xb0\xa2\x8b\xb3\x80\xe0\x9d5\xd60@\xde\xf9\x1f\xe4\xbcgB\x0c\x92\x0b a+\x00\x00\xb3^2\xd5\xbf\xd6\xccS\xf2d\x16\x05\xf4R8\xfd\xed\x1e\xce<\x9f\xd0\x1a\xcbUG\x8b\xff\x00$\x13\x03\x13\x01\x13\x02\xc0/\xc0+\xc00\xc0,\xcc\xa9\xcc\xa8\xc0\t\xc0\x13\xc0\n\xc0\x14\x00\x9c\x00\x9d\x00/\x005\x00\n\x01\x00\x01\x8f\x00\x00\x00%\x00#\x00\x00 mobile.events.data.microsoft.com\x00\x17\x00\x00\xff\x01\x00\x01\x00\x00\n\x00\x08\x00\x06\x00\x1d\x00\x17\x00\x18\x00\x0b\x00\x02\x01\x00\x00#\x00\x00\x00\r\x00\x14\x00\x12\x04\x03\x08\x04\x04\x01\x05\x03\x08\x05\x05\x01\x08\x06\x06\x01\x02\x01\x003\x00&\x00$\x00\x1d\x00 \xb0\xd3f\xf8\xf7\x03\xbe\xe1\x95y\xd0\xa3\x0b4/\x82\xd6\xef:\x93\xe3\x11\xab\xc7\xedU\xfdvr*\xa3|\x00-\x00\x02\x01\x01\x00+\x00\x05\x04\x03\x04\x03\x03\x00\x15\x00\xf2\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'",1,Abnormal
192.168.2.200,13.89.179.9,7352,443,6,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x004\xeba@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8\rY\xb3\t\x1c\xb8\x01\xbbb)Y\x05B\xc8\x01z\x80\x10\x04\x04\x83\xf9\x00\x00\x01\x01\x05\nB\xc8\x06\xf2B\xc8\x0cj'",1,Abnormal
192.168.2.200,13.89.179.9,7352,443,6,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x00(\xebb@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8\rY\xb3\t\x1c\xb8\x01\xbbb)Y\x05B\xc8\x0cjP\x10\x04\x04\x83\xed\x00\x00'",1,Abnormal
192.168.2.200,13.89.179.9,7352,443,6,"b'\xfc|\x02H\x16\xf3,\xf0]\xd4X\xd3\x08\x00E\x00\x004\xebc@\x00\x80\x06\x00\x00\xc0\xa8\x02\xc8\rY\xb3\t\x1c\xb8\x01\xbbb)Y\x05B\xc8\x0cj\x80\x10\x04\x04\x83\xf9\x00\x00\x01\x01\x05\nB\xc8\x11\xe2B\xc8\x12\xdb'",1,Abnormal
13.89.179.9,192.168.2.200,443,7351,6,"b',\xf0]\xd4X\xd3\xfc|\x02H\x16\xf3\x08\x00E\x00\x00(\xd5h@\x00i\x06\xb8\x94\rY\xb3\t\xc0\xa8\x02\xc8\x01\xbb\x1c\xb7M\x80\x18\x1bd\xc1y\x82P\x10\x08\x02\xc1\xae\x00\x00\x00\x00\x00\x00\x00\x00'",1,Abnormal
13.89.179.9,192.168.2.200,443,7351,6,"b',\xf0]\xd4X\xd3\xfc|\x02H\x16\xf3\x08\x00E\x00\x01\xd8\xd5i@\x00i\x06\xb6\xe3\rY\xb3\t\xc0\xa8\x02\xc8\x01\xbb\x1c\xb7M\x80\x18\x1bd\xc1y\x82P\x19\x08\x02\x14@\x00\x00\x17\x03\x03\x01\xab\x00\x00\x00\x00\x00\x00\x00\x01\x08d\xb4\xe5\x01\xa1\xba\xe9K\xb0\x81{\x08-\x93\xf6\xf0;2\xdd&\xec\xfa\xf6\xf4\xd9J\x04t\x04\x953\x01\x8c^O\xf9\x9dS,\t\xaf\xf9`\x10\xeaM\xc5\xd0)y\xdd@\x91*\x97\x88Tw\x00`\xd0TE\xb7\x12\xed^fsEg\x8b\x8bj-Y\xb2\xd5~\xff\xac\xc5\xf3\xf1\xdd%,\xa1]\xd5\xb8\x16\x972O\x115\xfc\x9b\xcb\x8a\xcf\xb2\x82G\xf2\xb2\xcem\xd9\xb6\xe5\xd6\xb0K\xdfg\x0e\x9b\x8b\xfd\xacS\x1d{\x8a\xd7U\x08y\xe0\x93\xb5_\x9d\x18\xc5\xad""\x82v\x16Tyy\xd2\xca\x16\x9b8\x05\xe7&\xc5w8\xcf\xd5\xc73\xc3t\x9d\xe2\x07\x91Bw\r\xf0\xf7rI\x9b\xc1\xf5r\xf0z\x8d\xe6\xd9\xab\xfa\x19\x03\xdePj\x1c\xa8\x1f\x84\xf4\xe9\x95`{\xdc\xe0\xd1\x96\xb1\x88U\xd9=\xc5j\xcaf\x83>\x9d\x03\xae\xe3iK\x84\xd7\x01\x12\xa3\n\xce\xfb\x10{B.\x05;\xf4\x8e\'\x81\xce\x1b\xaf \xa7K\x03\x8cy\x03\xb5\xe4\xe2\x1f\x9c7A\xeag\x80\xaeilb\xa3F\xfe\x97\x82\' :\xff\xab\xc147pg\xe9\x96t\xdbw\xddC\xcb\xcc\x9fY\n\x85c\xe5\x98\x8d\x16\xfakK\x92\x9e\x1e3\x10\xdf\xcb\xd3\x10\x08\xa4\xf6\xd8!&\x81\x10q\x1ao\x86:\xb4\xeb$\x82\xa0j5]\xb7l]o\x9eO*4\xb1\xe2\x91\x96I\x82\nz\x84\x80\xa0\xfdJ1\xc6G\xbb\xa9\xdb\xa7t""\xa4\x12:\xe70\xb4\x7f\'\xd38\x1f\xd7v\x8fa\xa4``\x0b\xc0u\xc1$6Ab\x18\xd8\xbd\x17\xbb-\xbc9<\xda\x86O\x02\xe5\x90\x95\xe9\x11\x8aC\xe4\xd9\xf5!\xb9\xc1\xa9\xb5M\xbe\xa3\xe7iSm'",1,Abnormal
13.89.179.9,192.168.2.200,443,7351,6,"b',\xf0]\xd4X\xd3\xfc|\x02H\x16\xf3\x08\x00E\x00\x00(\xd5j@\x00i\x06\xb8\x92\rY\xb3\t\xc0\xa8\x02\xc8\x01\xbb\x1c\xb7M\x80\x19\xccd\xc1y\xa2P\x10\x08\x02\xbf\xdd\x00\x00\x00\x00\x00\x00\x00\x00'",1,Abnormal
192.168.2.200,239.255.255.250,60698,1900,17,"b'\x01\x00^\x7f\xff\xfa,\xf0]\xd4X\xd3\x08\x00E\x00\x00\xa5\xbbj\x00\x00\x02\x11\x00\x00\xc0\xa8\x02\xc8\xef\xff\xff\xfa\xed\x1a\x07l\x00\x91\xc5\xfcM-SEARCH * HTTP/1.1\r\nHOST: 239.255.255.250:1900\r\nST: urn:schemas-upnp-org:device:InternetGatewayDevice:1\r\nMAN: ""ssdp:discover""\r\nMX: 2\r\n\r\n'",1,Abnormal
